time/time_elapsed,train/policy_loss,train/n_updates,time/iterations,train/reward,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/value_loss,train/std,train/learning_rate
2,-14.436796188354492,99,100,-0.16475867,500,-1.1920928955078125e-07,-41.15494155883789,211,0.479586660861969,1.0004128217697144,0.0007
4,-44.62073516845703,199,200,-2.0569904,1000,0.09140479564666748,-41.1783332824707,214,1.5424139499664307,1.0012001991271973,0.0007
7,-106.90596008300781,299,300,3.8843281,1500,-9.5367431640625e-07,-41.21943283081055,213,6.8513689041137695,1.0026617050170898,0.0007
9,20.21388816833496,399,400,2.092036,2000,0.0,-41.227806091308594,215,4.053177356719971,1.0030823945999146,0.0007
11,120.5167236328125,499,500,-6.6411014,2500,0.013937771320343018,-41.277320861816406,215,18.136178970336914,1.004486083984375,0.0007
13,165.29452514648438,599,600,-0.038276143,3000,0.2136046290397644,-41.29340744018555,215,14.771734237670898,1.005415439605713,0.0007
16,-21.367341995239258,699,700,-5.1639714,3500,0.0,-41.31825256347656,215,1.2499383687973022,1.0066828727722168,0.0007
18,134.6377410888672,799,800,-0.88297063,4000,0.0473141074180603,-41.422630310058594,214,13.470036506652832,1.0100544691085815,0.0007
20,165.07720947265625,899,900,-1.3586106,4500,0.0,-41.46194839477539,215,21.310949325561523,1.0112683773040771,0.0007
23,-79.35299682617188,999,1000,-5.6446185,5000,0.0006072521209716797,-41.50050735473633,215,4.3587446212768555,1.0128799676895142,0.0007
25,-311.32666015625,1099,1100,2.1673687,5500,0.0,-41.509498596191406,215,63.2602653503418,1.0131540298461914,0.0007
27,-162.8495330810547,1199,1200,0.45952842,6000,0.0,-41.529518127441406,215,15.736598014831543,1.013725996017456,0.0007
30,7.635930061340332,1299,1300,-3.1474128,6500,0.0,-41.51691436767578,216,3.8449649810791016,1.0134526491165161,0.0007
32,72.66500854492188,1399,1400,2.0307412,7000,2.384185791015625e-07,-41.495765686035156,216,5.211487770080566,1.0125951766967773,0.0007
34,-13.472538948059082,1499,1500,-0.020230746,7500,5.960464477539063e-08,-41.487613677978516,215,11.070175170898438,1.0124565362930298,0.0007
37,226.04519653320312,1599,1600,2.187207,8000,0.0,-41.48614501953125,215,38.19782257080078,1.0123003721237183,0.0007
39,-140.9674072265625,1699,1700,6.275066,8500,0.0,-41.51007843017578,216,43.32938003540039,1.0132602453231812,0.0007
41,-36.41758728027344,1799,1800,1.6255126,9000,-1.1920928955078125e-07,-41.49903869628906,216,0.9263966679573059,1.0129425525665283,0.0007
43,10.309785842895508,1899,1900,0.6743591,9500,0.0,-41.51512145996094,216,0.8794814944267273,1.0134786367416382,0.0007
46,-40.37428665161133,1999,2000,-0.6214069,10000,-1.1920928955078125e-07,-41.48386001586914,216,4.124013423919678,1.01265549659729,0.0007
48,233.5681610107422,2099,2100,1.044983,10500,0.0,-41.440826416015625,216,34.709598541259766,1.0110423564910889,0.0007
50,-161.83106994628906,2199,2200,-13.997029,11000,0.0,-41.44956970214844,216,22.73528289794922,1.0113253593444824,0.0007
53,-3258.973388671875,2299,2300,-9.418285,11500,-1.1920928955078125e-07,-41.37324523925781,216,6578.5986328125,1.0086525678634644,0.0007
55,8.29119873046875,2399,2400,0.9901521,12000,0.06770545244216919,-41.37590026855469,216,1.8431217670440674,1.0086517333984375,0.0007
57,-134.37521362304688,2499,2500,-1.6254919,12500,0.0,-41.34632110595703,215,10.769606590270996,1.0076216459274292,0.0007
60,110.30875396728516,2599,2600,0.38958606,13000,0.0,-41.39794158935547,215,11.72382640838623,1.0094819068908691,0.0007
62,25.431020736694336,2699,2700,-0.7151266,13500,0.0,-41.360721588134766,215,0.9666202664375305,1.008441686630249,0.0007
64,61.10291290283203,2799,2800,1.8968602,14000,0.0,-41.37998580932617,215,3.4505932331085205,1.0089110136032104,0.0007
67,-105.90975189208984,2899,2900,2.3861692,14500,-1.1920928955078125e-07,-41.40695571899414,215,7.3565568923950195,1.0100758075714111,0.0007
69,-36.578189849853516,2999,3000,-0.020060625,15000,0.0,-41.35896682739258,215,0.8440061807632446,1.0081762075424194,0.0007
71,-32.9725456237793,3099,3100,0.62262124,15500,0.0,-41.38029861450195,215,1.2723560333251953,1.0092155933380127,0.0007
74,-252.79348754882812,3199,3200,-2.183084,16000,0.0,-41.381500244140625,215,90.63617706298828,1.0093342065811157,0.0007
76,169.83193969726562,3299,3300,-0.68603295,16500,-0.020205020904541016,-41.37143325805664,215,20.572141647338867,1.0087922811508179,0.0007
78,86.29936981201172,3399,3400,6.220416,17000,1.1920928955078125e-07,-41.40204620361328,215,20.629770278930664,1.009929895401001,0.0007
81,125.07501220703125,3499,3500,1.075224,17500,-1.1920928955078125e-07,-41.45428466796875,215,14.983015060424805,1.011818289756775,0.0007
83,-103.9107894897461,3599,3600,0.8247455,18000,-0.018347740173339844,-41.49066925048828,215,7.919564723968506,1.013017177581787,0.0007
85,148.6554412841797,3699,3700,1.9230013,18500,0.0,-41.45446014404297,216,15.097270011901855,1.0116037130355835,0.0007
87,41.647335052490234,3799,3800,1.981534,19000,0.0,-41.47016143798828,216,2.1247591972351074,1.0124216079711914,0.0007
90,61.8898811340332,3899,3900,0.7757447,19500,-1.1920928955078125e-07,-41.483917236328125,216,4.0398454666137695,1.012782335281372,0.0007
92,-99.72959899902344,3999,4000,1.9650556,20000,0.0,-41.41622543334961,216,11.287867546081543,1.0108695030212402,0.0007
94,23.19118881225586,4099,4100,-0.14194746,20500,2.562999725341797e-06,-41.483428955078125,216,1.9247980117797852,1.0127698183059692,0.0007
97,-136.03648376464844,4199,4200,-2.6270578,21000,0.0,-41.49373245239258,215,11.950233459472656,1.013210415840149,0.0007
99,-90.0185775756836,4299,4300,2.8517072,21500,0.0,-41.48870086669922,215,5.216874599456787,1.0131534337997437,0.0007
102,36.57410430908203,4399,4400,2.1327894,22000,0.0,-41.55793380737305,215,1.9576671123504639,1.0153528451919556,0.0007
104,73.40428161621094,4499,4500,-0.8366303,22500,-1.1920928955078125e-07,-41.559722900390625,215,3.298241376876831,1.015817403793335,0.0007
106,51.12082290649414,4599,4600,0.29162014,23000,0.0,-41.60535430908203,215,2.221606492996216,1.0174856185913086,0.0007
109,-141.34532165527344,4699,4700,0.12773347,23500,-1.1920928955078125e-07,-41.61469650268555,215,16.49686622619629,1.017638087272644,0.0007
111,-70.52545166015625,4799,4800,-1.0597979,24000,5.960464477539063e-08,-41.635108947753906,215,3.801790714263916,1.018638253211975,0.0007
113,-136.4612274169922,4899,4900,0.27895838,24500,0.0,-41.65285873413086,215,16.93265151977539,1.019229531288147,0.0007
115,59.767181396484375,4999,5000,-0.9788748,25000,0.0,-41.65723419189453,215,7.54967737197876,1.019344449043274,0.0007
118,-50.987220764160156,5099,5100,0.6229346,25500,-1.1920928955078125e-07,-41.75505828857422,215,4.725258827209473,1.0229518413543701,0.0007
120,-266.864501953125,5199,5200,2.817459,26000,0.0,-41.77372360229492,215,44.13838195800781,1.0236124992370605,0.0007
122,9.162510871887207,5299,5300,0.47026587,26500,0.0,-41.78863525390625,215,0.06943617016077042,1.024074912071228,0.0007
125,-248.29263305664062,5399,5400,0.4776367,27000,-2.384185791015625e-07,-41.78865432739258,215,54.250526428222656,1.0245559215545654,0.0007
127,-105.2201156616211,5499,5500,0.5656396,27500,-1.1920928955078125e-07,-41.81364440917969,215,18.934688568115234,1.0251014232635498,0.0007
129,-121.37300872802734,5599,5600,1.0972049,28000,0.0,-41.88998031616211,215,13.225397109985352,1.0279442071914673,0.0007
131,-61.141197204589844,5699,5700,-1.7583166,28500,0.0,-41.91621780395508,215,4.763056755065918,1.028555154800415,0.0007
134,305.10430908203125,5799,5800,0.22371064,29000,-20.675085067749023,-41.93674087524414,215,87.92369079589844,1.0291706323623657,0.0007
136,14.60157299041748,5899,5900,0.10132924,29500,-1.1920928955078125e-07,-41.93101501464844,215,0.6300938725471497,1.0288058519363403,0.0007
139,158.8925323486328,5999,6000,-1.5052907,30000,0.0,-41.95063018798828,215,12.840123176574707,1.0301004648208618,0.0007
