time/iterations,train/std,time/total_timesteps,train/n_updates,train/entropy_loss,train/learning_rate,time/fps,train/explained_variance,train/policy_loss,time/time_elapsed,train/value_loss,train/reward
4900,1.0147674083709717,24500,4899,-41.53400421142578,0.0007,212,1.1920928955078125e-07,-85.46444702148438,115,6.577240943908691,-0.36751744
5000,1.0153254270553589,25000,4999,-41.55233383178711,0.0007,212,-2.384185791015625e-07,-35.94075393676758,117,3.0332820415496826,-1.7955222
5100,1.0172260999679565,25500,5099,-41.60085678100586,0.0007,212,0.0,94.82676696777344,120,25.76034927368164,-1.2369927
5200,1.019563913345337,26000,5199,-41.66840362548828,0.0007,212,0.0,-366.8165283203125,122,87.8580093383789,5.3317757
5300,1.021633505821228,26500,5299,-41.72876739501953,0.0007,212,-0.08189857006072998,-36.05449295043945,124,0.8871455192565918,0.64719886
5400,1.0227208137512207,27000,5399,-41.761695861816406,0.0007,212,-1.1920928955078125e-07,-227.69287109375,127,30.61283302307129,-0.86528456
5500,1.0244213342666626,27500,5499,-41.805885314941406,0.0007,212,0.0,15.799479484558105,129,15.401201248168945,2.7239707
5600,1.026150107383728,28000,5599,-41.86296081542969,0.0007,212,0.0,-49.28129577636719,131,2.1866135597229004,0.7475664
5700,1.0267921686172485,28500,5699,-41.86933517456055,0.0007,212,0.0,77.02125549316406,133,5.512621879577637,1.5051937
5800,1.0287847518920898,29000,5799,-41.93503189086914,0.0007,212,1.1920928955078125e-07,-15.086606979370117,136,4.473476886749268,1.9231013
5900,1.0290684700012207,29500,5899,-41.93070983886719,0.0007,213,0.0,38.4423942565918,138,1.2435117959976196,-0.6849369
6000,1.0279932022094727,30000,5999,-41.90339660644531,0.0007,213,0.0,39.648841857910156,140,1.539555549621582,0.9319216
6100,1.030040979385376,30500,6099,-41.963157653808594,0.0007,213,0.0,114.4312515258789,142,12.124555587768555,-2.0110996
6200,1.0314948558807373,31000,6199,-41.99226760864258,0.0007,213,0.0,26.25882339477539,145,0.3525283932685852,0.35078236
6300,1.0316523313522339,31500,6299,-42.00013732910156,0.0007,213,5.960464477539063e-08,186.64990234375,147,23.80034637451172,2.5344324
6400,1.0332344770431519,32000,6399,-42.044673919677734,0.0007,213,5.543231964111328e-06,62.39200973510742,149,2.8694162368774414,2.1532435
6500,1.0345264673233032,32500,6499,-42.0794563293457,0.0007,213,0.0,22.258926391601562,152,3.7272496223449707,-5.056637
6600,1.035987377166748,33000,6599,-42.115196228027344,0.0007,213,0.0,-68.83876037597656,154,6.289747714996338,0.15448684
6700,1.0399385690689087,33500,6699,-42.22755813598633,0.0007,213,-0.05875039100646973,-859.5578002929688,156,535.1019287109375,-5.1049957
6800,1.040141224861145,34000,6799,-42.232872009277344,0.0007,214,0.0,-47.0981559753418,158,2.8417747020721436,1.6394356
6900,1.0399179458618164,34500,6899,-42.22906494140625,0.0007,214,0.0,-105.3486328125,161,29.128326416015625,-1.4732857
7000,1.0405436754226685,35000,6999,-42.24364471435547,0.0007,214,1.1920928955078125e-07,49.722679138183594,163,1.7034202814102173,0.39079723
7100,1.0395870208740234,35500,7099,-42.21119689941406,0.0007,214,5.173683166503906e-05,62.562477111816406,165,2.187875747680664,0.8285739
7200,1.0412567853927612,36000,7199,-42.26043701171875,0.0007,214,5.960464477539063e-08,-262.7732849121094,167,41.86842727661133,1.4173949
7300,1.041656732559204,36500,7299,-42.26902389526367,0.0007,214,0.0,67.73287963867188,170,5.845429420471191,-0.36993322
7400,1.0430090427398682,37000,7399,-42.308387756347656,0.0007,214,-0.020202994346618652,349.15447998046875,172,74.84333801269531,-7.84455
7500,1.0441981554031372,37500,7499,-42.34228515625,0.0007,214,-5.9604644775390625e-06,171.1376953125,174,20.338001251220703,-8.646912
7600,1.0447872877120972,38000,7599,-42.357173919677734,0.0007,214,0.0,-156.5066680908203,177,14.605364799499512,0.93568856
7700,1.047277808189392,38500,7699,-42.42432403564453,0.0007,214,-0.025364279747009277,-108.19937896728516,179,6.635331153869629,2.7573266
7800,1.04738450050354,39000,7799,-42.4232292175293,0.0007,214,5.960464477539063e-08,-97.41072845458984,181,7.519558906555176,-0.37405333
7900,1.0479791164398193,39500,7899,-42.439186096191406,0.0007,214,-1.1920928955078125e-07,563.4259643554688,184,205.522216796875,4.094591
8000,1.0503449440002441,40000,7999,-42.51243591308594,0.0007,214,0.0,-456.0732421875,186,138.97793579101562,-3.177279
8100,1.050787329673767,40500,8099,-42.520843505859375,0.0007,214,1.1920928955078125e-07,240.5975341796875,188,50.28065872192383,21.036425
8200,1.0504810810089111,41000,8199,-42.5064697265625,0.0007,214,-0.1410231590270996,6.603701591491699,191,0.129649817943573,-0.09807285
8300,1.0496885776519775,41500,8299,-42.49308776855469,0.0007,214,0.0,32.773094177246094,193,1.4392540454864502,-1.7403117
8400,1.0492444038391113,42000,8399,-42.46869659423828,0.0007,214,-0.5195193290710449,-24.596004486083984,195,0.8566047549247742,-0.7578874
8500,1.0496220588684082,42500,8499,-42.481651306152344,0.0007,214,0.0,143.5789337158203,197,12.879305839538574,0.3813411
8600,1.0502686500549316,43000,8599,-42.501434326171875,0.0007,214,0.0,19.36715316772461,200,39.04670715332031,-15.638536
8700,1.049890398979187,43500,8699,-42.49008560180664,0.0007,214,-14.30452823638916,48.130340576171875,202,14.055033683776855,1.0652179
8800,1.0494216680526733,44000,8799,-42.48499298095703,0.0007,214,1.1920928955078125e-07,-38.506507873535156,204,1.867369294166565,0.65544504
8900,1.0474355220794678,44500,8899,-42.42225646972656,0.0007,214,0.0,15.823310852050781,207,1.2745895385742188,0.8125185
9000,1.0458263158798218,45000,8999,-42.374061584472656,0.0007,214,0.0,18.897462844848633,209,5.318970680236816,-0.37533212
9100,1.0447931289672852,45500,9099,-42.341064453125,0.0007,214,0.0,77.78599548339844,211,4.165721893310547,-0.4079826
9200,1.0445995330810547,46000,9199,-42.339237213134766,0.0007,214,0.0,17.113162994384766,214,3.612605571746826,6.6797395
9300,1.0464527606964111,46500,9299,-42.38648986816406,0.0007,214,0.0,-190.6328887939453,216,24.86825180053711,1.1925826
9400,1.0475547313690186,47000,9399,-42.414833068847656,0.0007,214,1.1920928955078125e-07,188.9905242919922,218,20.502931594848633,1.202456
9500,1.0459917783737183,47500,9499,-42.36821365356445,0.0007,214,1.1920928955078125e-07,216.8239288330078,220,33.61897659301758,2.121485
9600,1.045168161392212,48000,9599,-42.355125427246094,0.0007,214,1.7881393432617188e-07,-365.72882080078125,223,74.44647979736328,4.0847077
9700,1.047362208366394,48500,9699,-42.40753936767578,0.0007,214,-1.1920928955078125e-07,150.102783203125,225,21.181692123413086,1.5290154
9800,1.0475784540176392,49000,9799,-42.40903091430664,0.0007,214,5.960464477539063e-08,126.68208312988281,227,180.51596069335938,8.062002
9900,1.0509874820709229,49500,9899,-42.507476806640625,0.0007,214,0.0,-44.554771423339844,230,1.511074185371399,-0.523968
10000,1.052147626876831,50000,9999,-42.551109313964844,0.0007,214,0.005422711372375488,30.7576904296875,232,2.3718714714050293,0.34739596
